Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4, C5",0805,4,1µF,
"C3, C6",0805,2,22µF,
"D1, D2",Nexperia_CFP3_SOD-123W,2,PMEG6020AELRX,
"H1, H2, H3",MountingHole_3.2mm_M3,3,MountingHole,
H4,MountingHole_4.3mm_M4,1,MountingHole,
J1,KF2510-2P,1,From PSU,
J2,KF2510-2P,1,LED Spots,
J3,KF2510-2P,1,To microsocope,
J4,KF2510-2P,1,LED Ring,
"L1, L2",VLS6045,2,47µH 1.3A,
"R1, R3",1206,2,200mΩ 0.5W,
"R2, R4",0805,2,10kΩ,
"RV1, RV2",Potentiometer_Alps_RK09K_Single_Vertical,2,10kΩ,
"U1, U2",SOT89-5,2,AL8861Y-13,
