Designator,Mid X,Mid Y,Rotation,Layer
C1,85.9,-69.5,90.0,top
C2,71.2,-64.2,270.0,top
C3,75.9,-57.7,90.0,top
C4,85.9,-50.4,90.0,top
C5,71.2,-45.8,270.0,top
C6,75.9,-39.0,90.0,top
D1,75.9,-62.6,270.0,top
D2,75.9,-43.8,270.0,top
J1,90.75,-62.98,90.0,top
J2,90.75,-69.27,90.0,top
J3,90.75,-56.75,90.0,top
J4,90.75,-50.48,90.0,top
L1,80.4,-69.0,0.0,top
L2,80.3,-50.2,0.0,top
R1,80.4,-58.0,0.0,top
R2,72.0,-61.0,0.0,top
R3,80.4,-39.0,0.0,top
R4,72.0,-42.4,0.0,top
RV1,63.75,-64.708332,180.0,top
RV2,63.75,-47.291666,180.0,top
U1,80.4,-62.65,0.0,top
U2,80.4,-43.85,0.0,top
