Designator,Mid X,Mid Y,Rotation,Layer
D1,153.4,-104.55,144.0,top
D2,142.625,-112.4,108.0,top
D3,129.375,-112.4,72.0,top
D4,118.64582,-104.644658,36.0,top
D5,114.55,-91.95,0.0,top
D6,118.611475,-79.368322,324.0,top
D7,129.386475,-71.598415,288.0,top
D8,142.638525,-71.598415,252.0,top
D9,153.35,-79.375,216.0,top
R1,150.494658,-107.06934,134.0,top
R2,138.925,-112.65,98.0,top
R3,126.225,-110.45,62.0,top
R4,121.519658,-107.00566,46.0,top
R5,115.25,-89.5,355.0,top
R6,121.475,-77.0,314.0,top
R7,133.075,-71.325,278.0,top
R8,145.75,-73.6,242.0,top
R9,150.455342,-76.96934,226.0,top
